iteration_index,iteration_time_s,status,runtime_s
0,1623266522.749718,start,
0,1623266522.749718,end,11.398031100
1,1623266522.849721,start,
1,1623266522.849721,end,2.275836300
2,1623266522.949739,start,
2,1623266522.949739,end,2.348331500
3,1623266523.049764,start,
3,1623266523.049764,end,2.658871800
4,1623266523.149797,start,
4,1623266523.149797,end,2.338954100
5,1623266523.249835,start,
5,1623266523.249835,end,2.224155900
6,1623266523.349875,start,
6,1623266523.349875,end,2.206534900
7,1623266523.44992,start,
7,1623266523.44992,end,2.519536800
8,1623266523.5499558,start,
8,1623266523.5499558,end,2.291030700
9,1623266523.649984,start,
9,1623266523.649984,end,2.252747300
10,1623266523.750015,start,
10,1623266523.750015,end,2.669232200
11,1623266523.850061,start,
11,1623266523.850061,end,2.155940500
12,1623266523.950115,start,
12,1623266523.950115,end,2.206568700
13,1623266524.050169,start,
13,1623266524.050169,end,2.632431400
14,1623266524.150215,start,
14,1623266524.150215,end,2.239001600
15,1623266524.250252,start,
15,1623266524.250252,end,2.572876600
16,1623266524.350286,start,
16,1623266524.350286,end,2.158690600
17,1623266524.4503179,start,
17,1623266524.4503179,end,2.216555900
18,1623266524.5503418,start,
18,1623266524.5503418,end,2.204015400
19,1623266524.650368,start,
19,1623266524.650368,end,2.542682800
20,1623266524.7503898,start,
20,1623266524.7503898,end,2.074715300
21,1623266524.85042,start,
21,1623266524.85042,end,2.072047900
22,1623266524.9504719,start,
22,1623266524.9504719,end,2.390477300
23,1623266525.050539,start,
23,1623266525.050539,end,2.017053700
24,1623266525.150604,start,
24,1623266525.150604,end,2.031966500
25,1623266525.2506518,start,
25,1623266525.2506518,end,2.366225900
26,1623266525.350685,start,
26,1623266525.350685,end,2.179628800
27,1623266525.450717,start,
27,1623266525.450717,end,2.039326300
28,1623266525.550747,start,
28,1623266525.550747,end,2.387878800
29,1623266525.650784,start,
29,1623266525.650784,end,2.046110500
30,1623266525.750826,start,
30,1623266525.750826,end,2.179706600
31,1623266525.850868,start,
31,1623266525.850868,end,2.574651600
32,1623266525.9509158,start,
32,1623266525.9509158,end,2.017967800
33,1623266526.050972,start,
33,1623266526.050972,end,2.060852200
34,1623266526.151027,start,
34,1623266526.151027,end,2.092996100
35,1623266526.251067,start,
35,1623266526.251067,end,2.492627900
36,1623266526.351079,start,
36,1623266526.351079,end,2.235209900
37,1623266526.451074,start,
37,1623266526.451074,end,2.246862100
38,1623266526.551056,start,
38,1623266526.551056,end,2.628506600
39,1623266526.651023,start,
39,1623266526.651023,end,2.324670200
40,1623266526.750973,start,
40,1623266526.750973,end,2.081448500
41,1623266526.850904,start,
41,1623266526.850904,end,2.451608600
42,1623266526.95083,start,
42,1623266526.95083,end,2.071851900
43,1623266527.05075,start,
43,1623266527.05075,end,2.084619200
44,1623266527.1506748,start,
44,1623266527.1506748,end,2.114836600
45,1623266527.2506158,start,
45,1623266527.2506158,end,2.506200300
46,1623266527.350569,start,
46,1623266527.350569,end,2.134359000
47,1623266527.450523,start,
47,1623266527.450523,end,2.174417900
48,1623266527.5504708,start,
48,1623266527.5504708,end,2.526221100
49,1623266527.65042,start,
49,1623266527.65042,end,2.177773200
50,1623266527.750378,start,
50,1623266527.750378,end,2.154686100
51,1623266527.850348,start,
51,1623266527.850348,end,2.106365600
52,1623266527.9503129,start,
52,1623266527.9503129,end,2.469750200
53,1623266528.0502799,start,
53,1623266528.0502799,end,2.152316500
54,1623266528.150244,start,
54,1623266528.150244,end,2.147322900
55,1623266528.250218,start,
55,1623266528.250218,end,2.212926700
56,1623266528.3502018,start,
56,1623266528.3502018,end,2.693446400
57,1623266528.450201,start,
57,1623266528.450201,end,2.356584700
58,1623266528.550217,start,
58,1623266528.550217,end,2.327714600
59,1623266528.650244,start,
59,1623266528.650244,end,2.276134300
60,1623266528.750272,start,
60,1623266528.750272,end,2.668435600
61,1623266528.8502948,start,
61,1623266528.8502948,end,2.248736100
62,1623266528.9503129,start,
62,1623266528.9503129,end,2.216216500
63,1623266529.05033,start,
63,1623266529.05033,end,2.621782300
64,1623266529.1503499,start,
64,1623266529.1503499,end,2.265745400
65,1623266529.25038,start,
65,1623266529.25038,end,2.252835200
66,1623266529.350409,start,
66,1623266529.350409,end,2.215675500
67,1623266529.450439,start,
67,1623266529.450439,end,2.586936100
68,1623266529.550472,start,
68,1623266529.550472,end,2.306253600
69,1623266529.6505048,start,
69,1623266529.6505048,end,2.163498000
70,1623266529.750536,start,
70,1623266529.750536,end,2.182774800
71,1623266529.850565,start,
71,1623266529.850565,end,2.127664700
72,1623266529.950594,start,
72,1623266529.950594,end,2.456097800
73,1623266530.050626,start,
73,1623266530.050626,end,2.116000100
74,1623266530.150657,start,
74,1623266530.150657,end,2.093845600
75,1623266530.250689,start,
75,1623266530.250689,end,2.094667900
76,1623266530.350721,start,
76,1623266530.350721,end,2.554372100
77,1623266530.4507499,start,
77,1623266530.4507499,end,2.102118300
78,1623266530.550772,start,
78,1623266530.550772,end,2.149365700
79,1623266530.650796,start,
79,1623266530.650796,end,2.169959700
80,1623266530.750824,start,
80,1623266530.750824,end,2.638013000
81,1623266530.8508608,start,
81,1623266530.8508608,end,2.124524900
82,1623266530.950896,start,
82,1623266530.950896,end,2.128359300
83,1623266531.050932,start,
83,1623266531.050932,end,2.171678600
84,1623266531.150971,start,
84,1623266531.150971,end,2.643602900
85,1623266531.251014,start,
85,1623266531.251014,end,2.249880800
86,1623266531.351069,start,
86,1623266531.351069,end,2.200680100
87,1623266531.4511368,start,
87,1623266531.4511368,end,2.068577600
88,1623266531.551209,start,
88,1623266531.551209,end,2.481231700
89,1623266531.6512659,start,
89,1623266531.6512659,end,2.175713000
90,1623266531.751312,start,
90,1623266531.751312,end,2.172962800
91,1623266531.851356,start,
91,1623266531.851356,end,2.155962200
92,1623266531.951401,start,
92,1623266531.951401,end,2.581552800
93,1623266532.051445,start,
93,1623266532.051445,end,2.158641100
94,1623266532.1514778,start,
94,1623266532.1514778,end,2.113876000
95,1623266532.251493,start,
95,1623266532.251493,end,2.088728000
96,1623266532.351497,start,
96,1623266532.351497,end,2.469138400
97,1623266532.451495,start,
97,1623266532.451495,end,2.086615200
98,1623266532.551482,start,
98,1623266532.551482,end,2.045907300
99,1623266532.651444,start,
99,1623266532.651444,end,2.050089000
100,1623266532.751385,start,
100,1623266532.751385,end,2.646720300
101,1623266532.8513138,start,
101,1623266532.8513138,end,2.090534400
102,1623266532.9512348,start,
102,1623266532.9512348,end,2.141430200
103,1623266533.051141,start,
103,1623266533.051141,end,2.107021800
104,1623266533.151044,start,
104,1623266533.151044,end,2.075857300
105,1623266533.250938,start,
105,1623266533.250938,end,2.439275800
106,1623266533.350827,start,
106,1623266533.350827,end,2.076534300
107,1623266533.4507089,start,
107,1623266533.4507089,end,2.113744200
108,1623266533.5505939,start,
108,1623266533.5505939,end,2.441446000
109,1623266533.6504889,start,
109,1623266533.6504889,end,2.087200400
110,1623266533.750398,start,
110,1623266533.750398,end,2.077297900
111,1623266533.8503199,start,
111,1623266533.8503199,end,2.168586700
112,1623266533.950239,start,
112,1623266533.950239,end,2.582161700
113,1623266534.050148,start,
113,1623266534.050148,end,2.131599400
114,1623266534.1500618,start,
114,1623266534.1500618,end,2.021900800
115,1623266534.249991,start,
115,1623266534.249991,end,2.050934100
116,1623266534.3499398,start,
116,1623266534.3499398,end,2.451487500
117,1623266534.4499059,start,
117,1623266534.4499059,end,2.023320400
118,1623266534.5498888,start,
118,1623266534.5498888,end,2.169711600
119,1623266534.649894,start,
119,1623266534.649894,end,2.167817900
120,1623266534.749917,start,
120,1623266534.749917,end,2.529348200
121,1623266534.8499448,start,
121,1623266534.8499448,end,2.063877800
122,1623266534.9499779,start,
122,1623266534.9499779,end,2.068316400
123,1623266535.050016,start,
123,1623266535.050016,end,2.051497100
124,1623266535.150063,start,
124,1623266535.150063,end,2.461725900
125,1623266535.250108,start,
125,1623266535.250108,end,2.063525200
126,1623266535.3501399,start,
126,1623266535.3501399,end,2.050077100
127,1623266535.4501438,start,
127,1623266535.4501438,end,2.086873600
128,1623266535.5501359,start,
128,1623266535.5501359,end,2.490743800
129,1623266535.650133,start,
129,1623266535.650133,end,2.020995800
130,1623266535.75014,start,
130,1623266535.75014,end,2.047237300
131,1623266535.8501449,start,
131,1623266535.8501449,end,2.134492700
132,1623266535.950152,start,
132,1623266535.950152,end,2.481006500
133,1623266536.050153,start,
133,1623266536.050153,end,2.070267900
134,1623266536.150164,start,
134,1623266536.150164,end,2.038817500
135,1623266536.2501988,start,
135,1623266536.2501988,end,2.073849500
136,1623266536.350261,start,
136,1623266536.350261,end,2.561338600
137,1623266536.4503329,start,
137,1623266536.4503329,end,2.152841900
138,1623266536.550402,start,
138,1623266536.550402,end,2.041131600
139,1623266536.650454,start,
139,1623266536.650454,end,2.653786700
140,1623266536.7504869,start,
140,1623266536.7504869,end,2.345421700
141,1623266536.850502,start,
141,1623266536.850502,end,2.199114100
142,1623266536.9505038,start,
142,1623266536.9505038,end,2.125418300
143,1623266537.0504968,start,
143,1623266537.0504968,end,2.965393100
144,1623266537.150491,start,
144,1623266537.150491,end,2.234411500
145,1623266537.250488,start,
145,1623266537.250488,end,2.495511300
146,1623266537.3505058,start,
146,1623266537.3505058,end,2.240186900
147,1623266537.4505398,start,
147,1623266537.4505398,end,2.615418300
148,1623266537.550572,start,
148,1623266537.550572,end,2.092729100
